"","bird","site","list_n","release_cond","partner_list_n","Pair_ID","partner","treatment","date","time","add_train","dt1","HEI","split_any","distance_training_tracks_average","distance_training_tracks_closest","HEI_analysis","Distance_average_analysis","Distance_closest_analysis","treatment_addtrain"
"1","15-X40","LH",1,"pair",409,"O2","22-B95","CM",2024-08-16,"09:36:05",FALSE,2024-08-16 09:36:05,0.933819350893392,FALSE,164.662697716781,111.210290162609,0.930838477257404,165.795784127899,112.007973040431,"CM_N"
"2","15-X40","LH",2,"pair",410,"O2","22-B95","TR",2024-06-08,"11:54:09",FALSE,2024-06-08 11:54:09,0.97498276091932,FALSE,NA,NA,0.974509788244206,NA,NA,"TR"
"3","15-X40","LH",3,"pair",411,"O2","22-B95","TR",2024-06-09,"14:20:05",FALSE,2024-06-09 14:20:05,0.955739734534125,FALSE,139.742220724305,139.742220724305,0.956067990652929,139.109000856624,139.109000856624,"TR"
"4","15-X40","LH",4,"pair",412,"O2","22-B95","TR",2024-06-17,"10:46:04",FALSE,2024-06-17 10:46:04,0.916666492972118,FALSE,125.919078240025,71.9761902388636,0.915842853005604,128.797702425977,74.3337324848756,"TR"
"6","15-X40","LH",6,"solo",NA,"O2",",","TR",2024-06-10,"17:19:05",FALSE,2024-06-10 17:19:05,0.958617244129026,NA,177.959390430196,130.152915125968,0.958617244129026,177.959390430196,130.152915125968,"TR"
"7","15-X40","LH",7,"solo",NA,"O2",",","TR",2024-06-11,"13:47:05",FALSE,2024-06-11 13:47:05,0.951886939602297,NA,101.826668283879,63.1842316515761,0.951886939602297,101.826668283879,63.1842316515761,"TR"
"8","15-X40","SH",10,"pair",418,"O2","22-B95","TR",2024-06-18,"18:00:16",TRUE,2024-06-18 18:00:16,0.876088857775499,FALSE,232.276219333153,232.276219333153,0.883404300204603,231.246976416883,231.246976416883,"TR"
"9","15-X40","SH",11,"pair",419,"O2","22-B95","TR",2024-07-04,"09:08:13",TRUE,2024-07-04 09:08:13,0.87774613530617,FALSE,282.550266777122,192.099754096505,0.875818287361247,284.734243297484,194.252822897596,"ATR"
"10","15-X40","SH",12,"pair",420,"O2","22-B95","TR",2024-07-04,"16:49:06",TRUE,2024-07-04 16:49:06,0.901773109420581,FALSE,279.561018181295,197.755109030194,0.901899595926688,280.966604912798,200.200579904136,"ATR"
"11","15-X40","SH",13,"pair",421,"O2","22-B95","TR",2024-07-08,"09:24:05",TRUE,2024-07-08 09:24:05,0.892530955292116,FALSE,251.610042614023,77.703418085412,0.889806597759153,252.157828575953,76.8952777547187,"ATR"
"12","15-X40","SH",14,"solo",NA,"O2",",","CM",2024-08-17,"10:13:05",TRUE,2024-08-17 10:13:05,0.872532840970525,NA,220.605811031201,38.4218882194358,0.872532840970525,220.605811031201,38.4218882194358,"CM_A"
"13","15-X40","SH",15,"solo",NA,"O2",",","TR",2024-06-10,"11:38:04",TRUE,2024-06-10 11:38:04,0.854348723270945,NA,436.243640369259,436.243640369259,0.854348723270945,436.243640369259,436.243640369259,"TR"
"14","15-X40","SH",16,"solo",NA,"O2",",","TR",2024-06-16,"10:28:07",TRUE,2024-06-16 10:28:07,0.886163920235784,NA,337.794770945891,337.794770945891,0.886163920235784,337.794770945891,337.794770945891,"TR"
"15","15-X40","SH",17,"solo",NA,"O2",",","TR",2024-07-05,"10:48:05",TRUE,2024-07-05 10:48:05,0.94237204443995,NA,159.116877977247,69.4364156471122,0.94237204443995,159.116877977247,69.4364156471122,"ATR"
"17","15-X40","SH",9,"pair",417,"O2","22-B95","TR",2024-06-09,"10:47:05",TRUE,2024-06-09 10:47:05,0.95071190255534,FALSE,NA,NA,0.950525876705039,NA,NA,"TR"
"18","15-X41","LH",18,"pair",201,"O4","20-C02","TR",2024-06-08,"12:00:08",FALSE,2024-06-08 12:00:08,0.948325054670815,FALSE,NA,NA,0.945757813961011,NA,NA,"TR"
"19","15-X41","LH",19,"pair",202,"O4","20-C02","TR",2024-06-17,"10:50:04",FALSE,2024-06-17 10:50:04,0.91626772446491,FALSE,432.035154003604,432.035154003604,0.916906546848159,430.504123871797,430.504123871797,"TR"
"20","15-X41","LH",20,"solo",NA,"O4",",","CM",2024-08-16,"09:44:04",FALSE,2024-08-16 09:44:04,0.633665808181658,NA,1680.05463861473,1465.20277619647,0.633665808181658,1680.05463861473,1465.20277619647,"CM_N"
"22","15-X41","LH",22,"solo",NA,"O4",",","TR",2024-06-10,"17:08:04",FALSE,2024-06-10 17:08:04,0.967824058640763,NA,462.312419150651,462.312419150651,0.967824058640763,462.312419150651,462.312419150651,"TR"
"23","15-X41","LH",23,"solo",NA,"O4",",","TR",2024-06-11,"13:52:04",FALSE,2024-06-11 13:52:04,0.880594278691325,NA,389.356702091596,389.356702091596,0.880594278691325,389.356702091596,389.356702091596,"TR"
"24","15-X41","SH",24,"pair",205,"O4","20-C02","TR",2024-06-09,"10:53:04",TRUE,2024-06-09 10:53:04,0.762207771961217,TRUE,NA,NA,0.772562115812214,NA,NA,"TR"
"26","15-X41","SH",26,"pair",206,"O4","20-C02","TR",2024-06-20,"09:05:12",TRUE,2024-06-20 09:05:12,0.704663909016353,FALSE,2046.44748822897,2046.44748822897,0.706557054148715,2072.31496369556,2072.31496369556,"TR"
